Engine_Name ,Engine_P_max ,Engine_P_min,Cost,Emgine_Mass,Engine_Volume ,Engine_Fuel_Type,Engine_g_perkWh ,Battery_Name,Battery_Capacity,Battery_Cost,Mass,Volume,Voltage,Current,Max_C_Rate,
Cat C7.1,240,24,50000,752,0.774,Diesel,diesel_engine_efficiency,"CALB 3,2V 50Ah L148-NCM",0.183,62,0.861,0.000408,3,50,1,
Cat C7.1 (Methanol),240,24,75000,752,0.774,Methanol,methanol_engine_efficiency,A123 22S3P,6.349,3000,42.4,0.0236,80,465,5,
Cat C13D,515,52,100000,1154,1.704,Diesel,diesel_engine_efficiency,Shift Power 66,6.6,5742.19,93,0.071,88,450,6,
Cat C13D (Methanol),515,52,150000,1154,1.704,Methanol,methanol_engine_efficiency,Shift Power 75,7.5,6525.21,93,0.071,88,450,5.3,
CAT C32,1342,559,200000,3154,5.54,Diesel,diesel_engine_efficiency,Shift Power 88,8.8,7656.25,93,0.071,88,200,2,
CAT C32 (Methanol),1342,559,300000,3154,5.54,Methanol,methanol_engine_efficiency,Durapower 148 V,31.1,10116,220,0.139,148,315,1.5,
 Wärtsilä 32 6L32,3480,522,600000,35000,46.06,Methanol,methanol_engine_efficiency,Durapower 333 V,32,8924.4,240,0.175,333,144,1.5,
 Wärtsilä 32 7L32,4060,609,650000,38000,50,Methanol,methanol_engine_efficiency,Durapower 666 V,42.6,16123.2,445,0.439,666,384,4,
 Wärtsilä 32 8L32,4640,696,700000,44000,58.93,Methanol,methanol_engine_efficiency,Shift PwrSwap 280 kWh,281.6,245000,3550,4.03,800,225,6,
 Wärtsilä 32 9L32,5220,783,750000,49000,62.911,Methanol,methanol_engine_efficiency,Corvus Blue Whale,43,13500,383,0.558,80,538,1,
,,,,,,,,Corvus Orca Energy,5.6,3500,72.8,0.064,50,336,3,
